,Label
2020-07-01,1800.25
2020-07-02,1829.75
2020-07-03,1841.95
2020-07-06,1868.0
2020-07-07,1831.6
2020-07-08,1828.25
2020-07-09,1831.0
2020-07-10,1793.5
2020-07-13,1819.0
2020-07-14,1827.0
2020-07-15,1784.75
2020-07-16,1807.0
2020-07-17,1799.0
2020-07-20,1837.59
2020-07-21,1850.9
2020-07-22,1855.51
2020-07-23,1855.75
2020-07-24,1861.75
2020-07-27,1849.04
2020-07-28,1862.5
2020-07-29,1915.0
2020-07-30,1948.5
2020-07-31,1896.25
2020-08-03,1880.0
2020-08-04,1941.86
2020-08-05,1938.47
2020-08-06,1926.45
2020-08-07,1937.5
2020-08-10,1955.0
2020-08-11,1971.25
2020-08-12,1990.25
2020-08-13,1973.25
2020-08-14,1949.6
2020-08-17,1955.75
2020-08-18,1969.5
2020-08-19,1950.25
2020-08-20,1957.25
2020-08-21,1947.0
2020-08-24,1945.75
2020-08-25,1910.75
2020-08-26,1918.25
2020-08-27,1948.0
2020-08-28,1945.5
2020-09-01,1875.5
2020-09-02,1865.75
2020-09-03,1854.64
2020-09-04,1860.5
2020-09-07,1899.3
2020-09-08,1881.25
2020-09-09,1867.5
2020-09-10,1885.17
2020-09-11,1887.9
2020-09-14,1863.5
2020-09-15,1859.75
2020-09-16,1853.3
2020-09-17,1832.75
2020-09-18,1811.0
2020-09-21,1813.0
2020-09-22,1823.0
2020-09-23,1802.0
2020-09-24,1784.0
2020-09-25,1748.75
2020-09-28,1743.5
2020-09-29,1761.75
2020-09-30,1784.0
2020-10-01,1776.75
2020-10-02,1798.5
2020-10-05,1836.38
2020-10-06,1788.6
2020-10-07,1778.5
2020-10-08,1756.1
2020-10-09,1732.75
2020-10-12,1737.75
2020-10-13,1748.0
2020-10-14,1796.5
2020-10-15,1797.0
2020-10-16,1770.75
2020-10-19,1763.0
2020-10-20,1759.75
2020-10-21,1784.5
2020-10-22,1832.25
2020-10-23,1806.5
