,Label
2015-01-02,1856.0
2015-01-05,1851.0
2015-01-06,1813.25
2015-01-07,1750.0
2015-01-08,1765.5
2015-01-09,1842.5
2015-01-12,1845.5
2015-01-13,1894.5
2015-01-14,1908.0
2015-01-15,1876.75
2015-01-16,1832.5
2015-01-19,1857.5
2015-01-20,1856.5
2015-01-21,1874.5
2015-01-22,1846.25
2015-01-23,1844.5
2015-01-26,1834.5
2015-01-27,1835.75
2015-01-28,1853.5
2015-01-29,1832.25
2015-01-30,1838.75
2015-02-02,1837.5
2015-02-03,1817.75
2015-02-04,1786.5
2015-02-05,1819.75
2015-02-06,1835.5
2015-02-09,1818.5
2015-02-10,1774.25
2015-02-11,1795.25
2015-02-12,1782.0
2015-02-13,1754.25
2015-02-16,1747.0
2015-02-17,1758.25
2015-02-18,1733.25
2015-02-19,1745.0
2015-02-20,1713.75
2015-02-23,1734.25
2015-02-24,1738.75
2015-02-25,1766.0
2015-02-26,1816.0
2015-02-27,1817.5
2015-03-02,1838.75
2015-03-03,1809.25
2015-03-04,1804.5
2015-03-05,1815.1
2015-03-06,1776.5
2015-03-09,1742.0
2015-03-10,1715.0
2015-03-11,1684.25
2015-03-12,1716.5
2015-03-13,1789.5
2015-03-16,1847.25
2015-03-17,1853.0
2015-03-18,1842.0
2015-03-19,1848.0
2015-03-20,1824.25
2015-03-23,1823.75
2015-03-24,1832.25
2015-03-25,1860.25
2015-03-26,1882.25
2015-03-27,1904.5
2015-03-30,1923.0
2015-03-31,1963.5
2015-04-01,1999.75
2015-04-02,1985.0
2015-04-07,1972.5
2015-04-08,1992.25
2015-04-09,2042.0
2015-04-10,2026.25
2015-04-13,2011.0
2015-04-14,2032.25
2015-04-15,2042.75
2015-04-16,2021.5
2015-04-17,2059.5
2015-04-20,2098.25
2015-04-21,2077.25
2015-04-22,2090.0
2015-04-23,2123.5
2015-04-24,2119.0
2015-04-27,2156.5
2015-04-28,2078.0
2015-04-29,2065.25
2015-04-30,2024.5
2015-05-01,1994.0
2015-05-05,2039.5
2015-05-06,2005.75
2015-05-07,1954.5
2015-05-08,1962.25
2015-05-11,1951.0
2015-05-12,1921.75
2015-05-13,1918.5
2015-05-14,1960.0
2015-05-15,1933.0
2015-05-18,1920.0
2015-05-19,1932.5
2015-05-20,1974.0
2015-05-21,1933.75
2015-05-22,1913.75
2015-05-26,1910.5
2015-05-27,1936.5
2015-05-28,1911.75
2015-05-29,1886.5
2015-06-01,1897.75
2015-06-02,1918.25
2015-06-03,1911.5
2015-06-04,1852.5
2015-06-05,1848.75
2015-06-08,1804.75
2015-06-09,1775.5
2015-06-10,1781.75
2015-06-11,1790.25
2015-06-12,1769.0
2015-06-15,1746.5
2015-06-16,1778.5
2015-06-17,1769.5
2015-06-18,1774.75
2015-06-19,1760.75
2015-06-22,1766.25
2015-06-23,1743.75
2015-06-24,1767.0
2015-06-25,1774.75
2015-06-26,1754.25
2015-06-29,1752.0
2015-06-30,1710.25
2015-07-01,1777.75
