,Label
2020-01-02,6251.0
2020-01-03,6247.25
2020-01-06,6233.25
2020-01-07,6128.5
2020-01-08,6073.75
2020-01-09,5956.0
2020-01-10,5899.75
2020-01-13,5715.5
2020-01-14,5675.0
2020-01-15,5612.75
2020-01-16,5568.25
2020-01-17,5551.25
2020-01-20,5503.5
2020-01-21,5594.5
2020-01-22,5703.5
2020-01-23,5722.25
2020-01-24,5648.25
2020-01-27,5651.75
2020-01-28,5729.25
2020-01-29,5747.0
2020-01-30,5772.25
2020-01-31,5750.75
2020-02-03,5796.75
2020-02-04,5746.25
2020-02-05,5745.75
2020-02-06,5708.0
2020-02-07,5746.0
2020-02-10,5665.75
2020-02-11,5662.75
2020-02-12,5645.25
2020-02-13,5598.25
2020-02-14,5617.25
2020-02-17,5680.75
2020-02-18,5646.75
2020-02-19,5663.5
2020-02-20,5655.25
2020-02-21,5589.0
2020-02-24,5521.5
2020-02-25,5555.75
2020-02-26,5520.75
2020-02-27,5424.75
2020-02-28,5447.75
2020-03-02,5276.0
2020-03-03,5128.5
2020-03-04,4729.5
2020-03-05,4820.25
2020-03-06,4805.25
2020-03-09,4625.0
2020-03-10,4811.0
2020-03-11,4846.15
2020-03-12,4788.75
2020-03-13,4782.5
2020-03-16,4763.0
2020-03-17,4938.75
2020-03-18,4785.25
2020-03-19,4879.5
2020-03-20,4824.0
2020-03-23,4870.0
2020-03-24,5018.75
2020-03-25,4978.2
2020-03-26,4993.0
2020-03-27,5134.0
2020-03-30,5082.0
2020-03-31,5118.25
2020-04-01,5194.0
2020-04-02,5159.25
2020-04-03,5000.5
2020-04-06,5109.25
2020-04-07,5135.5
2020-04-08,5118.74
2020-04-09,5171.0
2020-04-14,5195.0
2020-04-15,5233.0
2020-04-16,5160.25
2020-04-17,5081.0
2020-04-20,5094.25
2020-04-21,5127.5
2020-04-22,5167.5
2020-04-23,5243.25
2020-04-24,5223.75
2020-04-27,5227.5
2020-04-28,5190.9
2020-04-29,5173.75
2020-04-30,5156.0
2020-05-01,5292.0
2020-05-04,5326.5
2020-05-05,5417.5
2020-05-06,5363.75
2020-05-07,5259.8
2020-05-11,5327.25
2020-05-12,5226.75
2020-05-13,5305.5
2020-05-14,5352.25
2020-05-15,5458.25
2020-05-18,5506.75
2020-05-19,5499.25
2020-05-20,5512.25
2020-05-21,5669.35
2020-05-22,5680.5
2020-05-26,5753.5
2020-05-27,5885.0
2020-05-28,5741.5
2020-05-29,5761.5
2020-06-01,5678.75
2020-06-02,5698.5
2020-06-03,5741.0
2020-06-04,5783.5
2020-06-05,5829.25
2020-06-08,5861.0
2020-06-09,5892.0
2020-06-10,5856.5
2020-06-11,5883.5
2020-06-12,5953.25
2020-06-15,5951.5
2020-06-16,6004.5
2020-06-17,6050.75
2020-06-18,6071.0
2020-06-19,6023.5
2020-06-22,6135.25
2020-06-23,6184.75
2020-06-24,6230.25
2020-06-25,6300.35
2020-06-26,6418.55
2020-06-29,6580.0
2020-06-30,6495.5
