,Label
2015-01-02,1844.5
2015-01-05,1834.5
2015-01-06,1835.75
2015-01-07,1853.5
2015-01-08,1832.25
2015-01-09,1838.75
2015-01-12,1837.5
2015-01-13,1817.75
2015-01-14,1786.5
2015-01-15,1819.75
2015-01-16,1835.5
2015-01-19,1818.5
2015-01-20,1774.25
2015-01-21,1795.25
2015-01-22,1782.0
2015-01-23,1754.25
2015-01-26,1747.0
2015-01-27,1758.25
2015-01-28,1733.25
2015-01-29,1745.0
2015-01-30,1713.75
2015-02-02,1734.25
2015-02-03,1738.75
2015-02-04,1766.0
2015-02-05,1816.0
2015-02-06,1817.5
2015-02-09,1838.75
2015-02-10,1809.25
2015-02-11,1804.5
2015-02-12,1815.1
2015-02-13,1776.5
2015-02-16,1742.0
2015-02-17,1715.0
2015-02-18,1684.25
2015-02-19,1716.5
2015-02-20,1789.5
2015-02-23,1847.25
2015-02-24,1853.0
2015-02-25,1842.0
2015-02-26,1848.0
2015-02-27,1824.25
2015-03-02,1823.75
2015-03-03,1832.25
2015-03-04,1860.25
2015-03-05,1882.25
2015-03-06,1904.5
2015-03-09,1923.0
2015-03-10,1963.5
2015-03-11,1999.75
2015-03-12,1985.0
2015-03-13,1972.5
2015-03-16,1992.25
2015-03-17,2042.0
2015-03-18,2026.25
2015-03-19,2011.0
2015-03-20,2032.25
2015-03-23,2042.75
2015-03-24,2021.5
2015-03-25,2059.5
2015-03-26,2098.25
2015-03-27,2077.25
2015-03-30,2090.0
2015-03-31,2123.5
2015-04-01,2119.0
2015-04-02,2156.5
2015-04-07,2078.0
2015-04-08,2065.25
2015-04-09,2024.5
2015-04-10,1994.0
2015-04-13,2039.5
2015-04-14,2005.75
2015-04-15,1954.5
2015-04-16,1962.25
2015-04-17,1951.0
2015-04-20,1921.75
2015-04-21,1918.5
2015-04-22,1960.0
2015-04-23,1933.0
2015-04-24,1920.0
2015-04-27,1932.5
2015-04-28,1974.0
2015-04-29,1933.75
2015-04-30,1913.75
2015-05-01,1910.5
2015-05-05,1936.5
2015-05-06,1911.75
2015-05-07,1886.5
2015-05-08,1897.75
2015-05-11,1918.25
2015-05-12,1911.5
2015-05-13,1852.5
2015-05-14,1848.75
2015-05-15,1804.75
2015-05-18,1775.5
2015-05-19,1781.75
2015-05-20,1790.25
2015-05-21,1769.0
2015-05-22,1746.5
2015-05-26,1778.5
2015-05-27,1769.5
2015-05-28,1774.75
2015-05-29,1760.75
2015-06-01,1766.25
2015-06-02,1743.75
2015-06-03,1767.0
2015-06-04,1774.75
2015-06-05,1754.25
2015-06-08,1752.0
2015-06-09,1710.25
2015-06-10,1777.75
2015-06-11,1808.5
2015-06-12,1788.0
2015-06-15,1838.75
2015-06-16,1829.0
2015-06-17,1852.5
2015-06-18,1821.0
2015-06-19,1827.25
2015-06-22,1798.25
2015-06-23,1774.0
2015-06-24,1756.75
2015-06-25,1715.25
2015-06-26,1703.0
2015-06-29,1680.75
2015-06-30,1707.25
2015-07-01,1716.0
